Coin Name,Symbol,Price (USD),1h Change (%),24h Change (%),7d Change (%),Market Cap,Volume (24h),Circulating Supply
CoinMarketCap 20 Index DTF,CMC20,165.54,0.15,3.79,27.01,6120000.0,2740000.0,36990.0
Bitcoin,BTC,80501.43,0.29,4.14,25.05,1610000000000.0,60880000000.0,20070000.0
Ethereum,ETH,2502.59,0.24,2.3,31.46,301850000000.0,23500000000.0,120680000.0
Tether,USDT,0.9997,0.01,0.04,0.06,183170000000.0,114460000000.0,183230000000.0
BNB,BNB,713.57,0.48,2.33,18.04,95030000000.0,2049999999.9999998,133160000.0
XRP,XRP,1.5,1.28,2.22,50.69,94470000000.0,6600000000.0,62740000000.0
USDC,USDC,1.0,0.01,0.01,0.0,73650000000.0,22460000000.0,73650000000.0
Solana,SOL,101.12,0.96,7.52,33.19,58990000000.0,7590000000.0,583370000.0
TRON,TRX,0.3445,0.01,0.04,3.81,32700000000.000004,517360000.0,94910000000.0
Hyperliquid,HYPE,80.82,0.18,1.82,34.83,20360000000.0,964920000.0,251970000.0
Dogecoin,DOGE,0.0921,0.88,0.67,31.61,14330000000.0,1400000000.0,155630000000.0
Zcash,ZEC,847.04,0.98,1.16,65.78,14260000000.0,1450000000.0,16830000.0
Chainlink,LINK,11.77,0.26,2.36,23.86,8800000000.0,542780000.0,748090000.0
UNUS SED LEO,LEO,9.35,0.05,0.49,0.74,8600000000.0,244890.0,919900000.0
Monero,XMR,449.34,0.12,8.14,7.04,8439999999.999999,131410000.0,18790000.0
